Item,Disaster Type,Month,gglCountry,PersonsPerItem
BlanketGen,DEFAULT,DEFAULT,DEFAULT,2.5
JerryCanGen,DEFAULT,DEFAULT,DEFAULT,2.5
KitchenSetGen,DEFAULT,DEFAULT,DEFAULT,2.5
MosquitoNetGen,DEFAULT,DEFAULT,DEFAULT,2.5
ShelterKit,DEFAULT,DEFAULT,DEFAULT,2.5
SleepingMats,DEFAULT,DEFAULT,DEFAULT,2.5
Tarpaulin4x6,DEFAULT,DEFAULT,DEFAULT,2.5
Tent,DEFAULT,DEFAULT,DEFAULT,2.5
BlanketGen,DEFAULT,-1,DEFAULT,2.5
JerryCanGen,DEFAULT,-1,DEFAULT,2.5
KitchenSetGen,DEFAULT,-1,DEFAULT,2.5
MosquitoNetGen,DEFAULT,-1,DEFAULT,2.5
ShelterKit,DEFAULT,-1,DEFAULT,2.5
SleepingMats,DEFAULT,-1,DEFAULT,2.5
Tarpaulin4x6,DEFAULT,-1,DEFAULT,2.5
Tent,DEFAULT,-1,DEFAULT,2.5
